Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,1404,1404,7,9.35987984330484,2.0601999999989573,207.27279999999837,47.84615384615385,23.6025412511506,23.6025412511506,7,9,10,10,14,18,36,60,210,210,210
,Aggregated,1404,1404,7,9.35987984330484,2.0601999999989573,207.27279999999837,47.84615384615385,23.6025412511506,23.6025412511506,7,9,10,10,14,18,36,60,210,210,210
